,accuracy,precision,recall,f1,roc_auc,train_time,f1_change
Full (All 4 models),0.7311,0.7519,0.6812,0.7148,0.8,6.3514,0.0
Without LR,0.7321,0.7513,0.6855,0.7169,0.7997,,0.0020999999999999908
Without RF,0.7307,0.7516,0.6806,0.7143,0.7997,,-0.0004999999999999449
Without XGB,0.7308,0.7524,0.6794,0.714,0.7995,,-0.0008000000000000229
Without LGBM,0.7311,0.752,0.681,0.7147,0.7997,,-9.999999999998899e-05
Only Top 2 (XGB+LGBM),0.7333,0.752,0.6877,0.7184,0.7999,,0.0036000000000000476
Without ap_hi,0.7315,0.7523,0.682,0.7154,,,0.0006000000000000449
Without ap_lo,0.7318,0.7507,0.6857,0.7167,,,0.0019000000000000128
Without age_years,0.7275,0.7649,0.6484,0.7019,,,-0.012900000000000023
Without bmi,0.7312,0.7509,0.6834,0.7155,,,0.0007000000000000339
Without cholesterol,0.7252,0.739,0.6875,0.7123,,,-0.0024999999999999467
