,accuracy,precision,recall,f1,roc_auc
Stacking_Single,0.7316,0.7404,0.7048,0.7221,0.7982
XGBoost,0.7341,0.7529,0.6885,0.7192,0.7998
Blending,0.7329,0.7498,0.6906,0.719,0.7998
NystroemSGD,0.7281,0.7363,0.702,0.7187,
BaggingSVM,0.733,0.7511,0.6885,0.7184,0.7924
Stacking,0.7321,0.7486,0.6904,0.7183,0.7999
HardVoting,0.7332,0.7525,0.6865,0.718,
LightGBM,0.7325,0.7514,0.6865,0.7175,0.7996
SoftVoting,0.7321,0.7513,0.6855,0.7169,0.7997
RandomForest,0.7291,0.7483,0.6818,0.7135,0.7971
Voting_Single,0.7273,0.7669,0.6447,0.7005,0.7974
